Survey Collection ID,System,School,Survey Type,Delivery Method,Date,Primary Facilitator,Secondary Facilitator,Tertiary Facilitator,Quaternary Facilitator,Submitter Role,Clear about change we seek,Clear about roles and responsibilities,Confident plan will achieve goals,Feel more equipped,Equipped and supported,Understand state of instruction,Valuable use of my time:,Clarity direction of work ahead,I learned something:,Likely to recommend Instruction Partners
a152E00000EqcykQAB,District/Network 43,,Professional Development,Virtual,7/26/2021,Facilitator 41,,,,Teacher,,,,,,,Agree,,Agree,8
a152E00000EqcypQAB,District/Network 43,,Professional Development,Virtual,7/26/2021,Facilitator 50,,,,Teacher,,,,,,,Strongly Agree,,Strongly Agree,10
a152E00000EqcykQAB,District/Network 43,,Professional Development,Virtual,7/26/2021,Facilitator 41,,,,Teacher,,,,,,,Strongly Agree,,Strongly Agree,10
a152E00000EqcypQAB,District/Network 43,,Professional Development,Virtual,7/26/2021,Facilitator 50,,,,Teacher,,,,,,,Strongly Agree,,Agree,10
a152E00000EqcykQAB,District/Network 43,,Professional Development,Virtual,7/26/2021,Facilitator 41,,,,Teacher,,,,,,,Strongly Agree,,Strongly Agree,8
a152E00000EqcykQAB,District/Network 43,,Professional Development,Virtual,7/26/2021,Facilitator 41,,,,Teacher,,,,,,,Strongly Agree,,Strongly Agree,10
a152E00000EqcypQAB,District/Network 43,,Professional Development,Virtual,7/26/2021,Facilitator 50,,,,Other,,,,,,,Agree,,Agree,6
a152E00000EqcykQAB,District/Network 43,,Professional Development,Virtual,7/26/2021,Facilitator 41,,,,Teacher,,,,,,,Strongly Agree,,Strongly Agree,9
a152E00000EqcypQAB,District/Network 43,,Professional Development,Virtual,7/26/2021,Facilitator 50,,,,Teacher,,,,,,,Agree,,Agree,10
a152E00000EqeGrQAJ,District/Network 15,School 23,Professional Development,,7/27/2021,Facilitator 1,,,,Teacher,,,,,,,Somewhat Agree,,Somewhat Agree,6
a152E00000EqeGrQAJ,District/Network 15,School 23,Professional Development,,7/27/2021,Facilitator 1,,,,Teacher,,,,,,,Agree,,Agree,9
a152E00000EqeH1QAJ,District/Network 15,School 23,Professional Development,,7/27/2021,Facilitator 6,,,,Teacher,,,,,,,Agree,,Strongly Agree,6
a152E00000EqeH1QAJ,District/Network 15,School 23,Professional Development,,7/27/2021,Facilitator 6,,,,Teacher,,,,,,,Strongly Agree,,Strongly Agree,10
a152E00000EqeGsQAJ,District/Network 15,School 23,Professional Development,Virtual,7/27/2021,Facilitator 22,Facilitator 12,,,Teacher,,,,,,,Agree,,Agree,5
a152E00000EqeGwQAJ,District/Network 15,School 23,Professional Development,,7/27/2021,Facilitator 1,,,,Teacher Leader,,,,,,,Somewhat Disagree,,Somewhat Agree,7
